;#;FORM;LEMMA;GRAM;COMMENT;CHECKED;RIGHT1;RIGHT2;RIGHT3;RIGHT4;RIGHT5;RIGHT6;POS;AUTO_LEMMA;AUTO_GRAM
36238;8;перемена;ПЕРЕМЕНА;S f inan nom sg;;;а;н;е;м;е;р;S;ПЕРЕМЕНА;S f inan nom sg
36239;9;после;ПОСЛЕ;PR;;;е;л;с;о;п;;PR;ПОСЛЕ;PR
36240;10;математики;МАТЕМАТИКА;S f inan gen sg;;;и;к;и;т;а;м;S;МАТЕМАТИКА;S f inan gen sg
36241;11;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36242;12;потом;ПОТОМ;ADV;;;м;о;т;о;п;;ADV;ПОТОМ;ADV -
36243;13;ещё;ЕЩЕ;ADV;;;ё;щ;е;;;;ADV;ЕЩЕ;ADV -
36244;14;прошла;ПРОЙТИ;V pf praet sg indic f;;;а;л;ш;о;р;п;V;ПРОЙТИ;V pf praet sg indic f -
36245;15;ещё;ЕЩЕ;ADV;;;ё;щ;е;;;;ADV;ЕЩЕ;ADV -
36246;16;одна;ОДИН;ANUM nom sg plen f;;;а;н;д;о;;;A;ОДИН;A - nom sg plen f -
36247;17;математика;МАТЕМАТИКА;S f inan nom sg;;;а;к;и;т;а;м;S;МАТЕМАТИКА;S f inan nom sg
36248;18;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36249;19;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
36250;20;я;Я;SPRO sg 1p nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
36251;21;так и;так и;;раздельно;;и;;к;а;т;;ZERO;так и;ZERO
36252;22;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
36253;23;решилась;РЕШИТЬСЯ;V pf praet sg indic f;;;ь;с;а;л;и;ш;V;РЕШИТЬСЯ;V pf praet sg indic f -
36254;24;ему;ОН;SPRO sg 3p m dat;;;у;м;е;;;;SPRO;ОН;SPRO sg 3p m dat
36255;25;ничего;НИЧТО;S n gen sg;;;о;г;е;ч;и;н;S;НИЧТО;S n - gen sg
36256;26;отдать;ОТДАТЬ;V pf inf;;;ь;т;а;д;т;о;V;ОТДАТЬ;V pf - - inf - -
36257;27;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36258;28;потому что;потому что;CONJ;;;о;т;ч;;у;м;ZERO;потому что;ZERO
36259;29;яяя;Я;SPRO sg 1p nom;*;;я;я;я;;;;NONLEX;ЯЯЯ;NONLEX
36260;30;испугалась;ИСПУГАТЬСЯ;V pf praet sg indic f;;;ь;с;а;л;а;г;V;ИСПУГАТЬСЯ;V pf praet sg indic f -
36261;31;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36262;32;но;НО;CONJ;;;о;н;;;;;CONJ;НО;CONJ
36263;33;потом;ПОТОМ;ADV;;;м;о;т;о;п;;ADV;ПОТОМ;ADV -
36264;34;…;…;PUNC;;;;;;;;;PUNC;…;PUNC
36265;35;кхм;КХМ;INTJ;;;м;х;к;;;;NONLEX;КХМ;NONLEX
36266;36;-;-;PUNC;;;;;;;;;PUNC;-;PUNC
36267;37;кхм;КХМ;INTJ;;;м;х;к;;;;NONLEX;КХМ;NONLEX
36268;38;-;-;PUNC;;;;;;;;;PUNC;-;PUNC
36269;39;кхм;КХМ;INTJ;;;м;х;к;;;;NONLEX;КХМ;NONLEX
36270;40;.;.;SENT;;;;;;;;;SENT;.;SENT
36271;;;;;;;;;;;;;;;
36272;1;М.;М.;INIT abbr;;;;м;;;;;S;М.;S - - nonflex nonflex
36273;2;Г.;Г.;INIT abbr;;;;г;;;;;S;Г.;S - - nonflex nonflex
36274;3;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
36275;4;Сначала;СНАЧАЛА;ADV;;;а;л;а;ч;а;н;ADV;СНАЧАЛА;ADV -
36276;5;я;Я;SPRO sg 1p nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
36277;6;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
36278;7;хотела;ХОТЕТЬ;V ipf praet sg indic f ;;;а;л;е;т;о;х;V;ХОТЕТЬ;V ipf praet sg indic f -
36279;8;никому;НИКТО;SPRO m dat sg;;;у;м;о;к;и;н;S;НИКТО;S m - dat sg
36280;9;читать;ЧИТАТЬ;V ipf inf;;;ь;т;а;т;и;ч;V;ЧИТАТЬ;V ipf - - inf - -
36281;10;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36282;11;ой;ОЙ;INTJ;;;й;о;;;;;INTJ;ОЙ;INTJ
36283;12;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36284;13;давать;ДАВАТЬ;V ipf inf ;;;ь;т;а;в;а;д;V;ДАВАТЬ;V ipf - - inf - -
36285;14;читать;ЧИТАТЬ;V ipf inf;;;ь;т;а;т;и;ч;V;ЧИТАТЬ;V ipf - - inf - -
36286;15;эээ;ЭЭЭ;INTJ;;;э;э;э;;;;NONLEX;ЭЭЭ;NONLEX
36287;16;это;ЭТОТ;APRO acc sg plen n ;;;о;т;э;;;;A;ЭТОТ;A - acc sg plen n -
36288;17;письмо;ПИСЬМО;S n inan acc sg;;;о;м;ь;с;и;п;S;ПИСЬМО;S n inan nom sg
36289;18;моим;МОЙ;APRO dat pl plen ;;;м;и;о;м;;;A;МОЙ;A - ins sg plen m -
36290;19;подружкам;ПОДРУЖКА;S f anim dat pl;;;м;а;к;ж;у;р;S;ПОДРУЖКА;S f anim dat pl
36291;20;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36292;21;нооо;НО;CONJ;*;;о;о;о;н;;;S;НООО;S m inan nonflex nonflex
36293;22;потом;ПОТОМ;ADV;;;м;о;т;о;п;;ADV;ПОТОМ;ADV -
36294;23;я;Я;SPRO sg 1p nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
36295;24;дала;ДАТЬ;V pf praet sg indic f ;;;а;л;а;д;;;V;ДАТЬ;V pf praet sg indic f -
36296;25;эээ;ЭЭЭ;INTJ;;;э;э;э;;;;NONLEX;ЭЭЭ;NONLEX
36297;26;прочитать;ПРОЧЕСТЬ;V pf inf;;;ь;т;а;т;и;ч;V;ПРОЧЕСТЬ;V pf - - inf - -
36298;27;это;ЭТО;SPRO n acc sg;;;о;т;э;;;;S;ЭТО;S n - acc sg
36299;28;Лизе;ЛИЗА;S f anim dat sg persn;;;е;з;и;л;;;S;ЛИЗА;S f anim dat sg
36300;29;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
36301;30;Весте.;ВЕСТА;S f anim dat sg persn;;;;е;т;с;е;в;S;ВЕСТ.;S m inan loc sg
36302;31;Кхм;КХМ;INTJ;;;м;х;к;;;;NONLEX;КХМ;NONLEX
36303;32;.;.;SENT;;;;;;;;;SENT;.;SENT
36304;;;;;;;;;;;;;;;
36305;1;Иии;И;CONJ;*;;и;и;и;;;;S;ИИИ;S m inan loc sg
36306;2;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36307;3;эм;ЭМ;INTJ;;;м;э;;;;;S;ЭМ;S n inan nonflex nonflex
36308;4;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36309;5;когда;КОГДА;CONJ;;;а;д;г;о;к;;CONJ;КОГДА;CONJ
36310;6;они;ОНИ;SPRO pl nom 3p;;;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom
36311;7;прочитали;ПРОЧЕСТЬ;V pf praet pl indic;;;и;л;а;т;и;ч;V;ПРОЧЕСТЬ;V pf praet pl indic - -
36312;8;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36313;9;ониии;ОНИ;SPRO pl nom 3p;*;;и;и;и;н;о;;ADV;ОНИИИ;ADV -
36314;10;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36315;11;ну;НУ;PART;;;у;н;;;;;PART;НУ;PART
36316;12;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36317;13;они;ОНИ;SPRO pl nom 3p;;;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom
36318;14;сказали;СКАЗАТЬ;V pf praet pl indic;;;и;л;а;з;а;к;V;СКАЗАТЬ;V pf praet pl indic - -
36319;15;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36320;16;что;ЧТО;CONJ;;;о;т;ч;;;;CONJ;ЧТО;CONJ
36321;17;короче;КОРОЧЕ;PARENTH ;;;е;ч;о;р;о;к;ADV;КОРОЧЕ;ADV comp
36322;18;они;ОНИ;SPRO pl nom 3p;;;и;н;о;;;;SPRO;ОНИ;SPRO pl - - nom
36323;19;никому;НИКТО;SPRO m dat sg;;;у;м;о;к;и;н;S;НИКТО;S m - dat sg
36324;20;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
36325;21;расскажут;РАССКАЗАТЬ;V pf fut pl indic 3p;;;т;у;ж;а;к;с;V;РАССКАЗАТЬ;V pf fut pl indic - 3p
36326;22;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36327;23;но;НО;CONJ;;;о;н;;;;;CONJ;НО;CONJ
36328;24;я;Я;SPRO sg 1p nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
36329;25;потом;ПОТОМ;ADV;;;м;о;т;о;п;;ADV;ПОТОМ;ADV -
36330;26;всё-таки;ВСЕ-ТАКИ;PART;;;и;к;а;т;;ё;PART;ВСЕ-ТАКИ;PART
36331;27;не;НЕ;PART;;;е;н;;;;;PART;НЕ;PART
36332;28;по...;ПО...;;distort;;;;;о;п;;PR;ПО...;PR
36333;29;побоялась;ПОБОЯТЬСЯ;V pf praet sg indic f;;;ь;с;а;л;я;о;V;ПОБОЯТЬСЯ;V pf praet sg indic f -
36334;30;ему;ОН;SPRO sg 3p m dat;;;у;м;е;;;;SPRO;ОН;SPRO sg 3p m dat
36335;31;<;<;PUNC;;;;;;;;;PUNC;<;PUNC
36336;32;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
36337;33;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX
36338;34;=;=;PUNC;;;;;;;;;PUNC;=;PUNC
36339;35;;_;;;;;;;;;;;_;36
36340;36;адать;ОТДАТЬ;V pf inf;*;;ь;т;а;д;а;;V;АДАТЬ;V pf - - inf - -
36341;37;;_;;;;;;;;;;;_;36
36342;38;>;>;PUNC;;;;;;;;;PUNC;>;PUNC
36343;39;отдать;ОТДАТЬ;V pf inf;;;ь;т;а;д;т;о;V;ОТДАТЬ;V pf - - inf - -
36344;40;<;<;PUNC;;;;;;;;;PUNC;<;PUNC
36345;41;/;/;PUNC;;;;;;;;;PUNC;/;PUNC
36346;42;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX
36347;43;>;>;PUNC;;;;;;;;;PUNC;>;PUNC
36348;44;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36349;45;но;НО;CONJ;;;о;н;;;;;CONJ;НО;CONJ
36350;46;у;У;PR;;;у;;;;;;PR;У;PR
36351;47;него...;ОН;SPRO sg 3p m gen;;;;;;о;г;е;SPRO;ОН...;SPRO sg 3p m acc
36352;48;у;У;PR;;;у;;;;;;PR;У;PR
36353;49;нас;МЫ;SPRO pl 1p gen;;;с;а;н;;;;SPRO;МЫ;SPRO pl 1p - loc
36354;50;была;БЫТЬ;V ipf praet sg indic f;;;а;л;ы;б;;;V;БЫТЬ;V ipf praet sg indic f -
36355;51;большая;БОЛЬШОЙ;A nom sg plen f ;;;я;а;ш;ь;л;о;A;БОЛЬШОЙ;A - nom sg plen f -
36356;52;перемена;ПЕРЕМЕНА;S f inan nom sg;;;а;н;е;м;е;р;S;ПЕРЕМЕНА;S f inan nom sg
36357;53;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36358;54;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
36359;55;у;У;PR;;;у;;;;;;PR;У;PR
36360;56;него;ОН;SPRO sg 3p m gen;;;о;г;е;н;;;SPRO;ОН;SPRO sg 3p m acc
36361;57;был;БЫТЬ;V ipf praet sg indic m;;;л;ы;б;;;;V;БЫТЬ;V ipf praet sg indic m -
36362;58;открыт;ОТКРЫТЬ;PARTCP pf praet sg brev m pass;;;т;ы;р;к;т;о;A;ОТКРЫТЫЙ;A - - sg brev m -
36363;59;портфель;ПОРТФЕЛЬ;S m inan nom sg;;;ь;л;е;ф;т;р;S;ПОРТФЕЛЬ;S m inan acc sg
36364;60;.;.;SENT;;;;;;;;;SENT;.;SENT
36365;;;;;;;;;;;;;;;
36366;1;Сначала;СНАЧАЛА;ADV;;;а;л;а;ч;а;н;ADV;СНАЧАЛА;ADV -
36367;2;я;Я;SPRO sg 1p nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
36368;3;ему;ОН;SPRO sg 3p m dat;;;у;м;е;;;;SPRO;ОН;SPRO sg 3p m dat
36369;4;засунула;ЗАСУНУТЬ;V pf praet sg indic f;;;а;л;у;н;у;с;V;ЗАСУНУТЬ;V pf praet sg indic f -
36370;5;в;В;PR;;;в;;;;;;PR;В;PR
36371;6;портфель;ПОРТФЕЛЬ;S m inan acc sg;;;ь;л;е;ф;т;р;S;ПОРТФЕЛЬ;S m inan acc sg
36372;7;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36373;8;а;А;CONJ;;;а;;;;;;CONJ;А;CONJ
36374;9;потом;ПОТОМ;ADV;;;м;о;т;о;п;;ADV;ПОТОМ;ADV -
36375;10;испугалась;ИСПУГАТЬСЯ;V pf praet sg indic f;;;ь;с;а;л;а;г;V;ИСПУГАТЬСЯ;V pf praet sg indic f -
36376;11;и;И;CONJ;;;и;;;;;;CONJ;И;CONJ
36377;12;обратно;ОБРАТНО;ADV;;;о;н;т;а;р;б;ADV;ОБРАТНО;ADV -
36378;13;е...;Е...;;distort;;;;;е;;;S;Е...;S - - nonflex nonflex
36379;14;это;ЭТОТ;APRO acc sg plen n ;;;о;т;э;;;;A;ЭТОТ;A - acc sg plen n -
36380;15;письмо;ПИСЬМО;S n inan acc sg;;;о;м;ь;с;и;п;S;ПИСЬМО;S n inan nom sg
36381;16;достала.;ДОСТАТЬ.;V pf praet sg indic f;;;;а;л;а;т;с;V;ДОСТАТЬ.;V pf praet sg indic f -
36382;17;Ха-ха;ХА-ХА;INTJ;;;а;х;;а;х;;INTJ;ХА-ХА;INTJ
36383;18;-;-;PUNC;;;;;;;;;PUNC;-;PUNC
36384;19;ха;ХА;INTJ;;;а;х;;;;;INTJ;ХА;INTJ
36385;20;.;.;SENT;;;;;;;;;SENT;.;SENT
36386;;;;;;;;;;;;;;;
36387;1;М.;М.;INIT abbr;;;;м;;;;;S;М.;S - - nonflex nonflex
36388;2;Г.;Г.;INIT abbr;;;;г;;;;;S;Г.;S - - nonflex nonflex
36389;3;@;@;PUNC;;;;;;;;;PUNC;@;PUNC
36390;4;Нууу;НУ;PART;*;;у;у;у;н;;;S;НУУУ;S f anim nonflex nonflex
36391;5;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36392;6;ииии;И;CONJ;*;;и;и;и;и;;;S;ИИИИ;S m inan gen sg
36393;7;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36394;8;ну;НУ;PART;;;у;н;;;;;PART;НУ;PART
36395;9;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36396;10;короче;КОРОЧЕ;PARENTH;;;е;ч;о;р;о;к;ADV;КОРОЧЕ;ADV comp
36397;11;я;Я;SPRO sg 1p nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
36398;12;его;ОН;SPRO sg 3p m acc;;;о;г;е;;;;SPRO;ОН;SPRO sg 3p m acc
36399;13;потом;ПОТОМ;ADV ;;;м;о;т;о;п;;ADV;ПОТОМ;ADV -
36400;14;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36401;15;потом;ПОТОМ;ADV ;;;м;о;т;о;п;;ADV;ПОТОМ;ADV -
36402;16;я;Я;SPRO sg 1p nom;;;я;;;;;;SPRO;Я;SPRO sg 1p - nom
36403;17;попросила;ПОПРОСИТЬ;V pf praet sg indic f;;;а;л;и;с;о;р;V;ПОПРОСИТЬ;V pf praet sg indic f -
36404;18;у;У;PR;;;у;;;;;;PR;У;PR
36405;19;своего;СВОЙ;APRO gen sg plen m;;;о;г;е;о;в;с;A;СВОЙ;A - gen sg plen m -
36406;20;другого;ДРУГОЙ;APRO gen sg plen m;;;о;г;о;г;у;р;A;ДРУГОЙ;A - gen sg plen m -
36407;21;друга;ДРУГ;S m anim gen sg;;;а;г;у;р;д;;S;ДРУГ;S m anim gen sg
36408;22;ластик;ЛАСТИК;S m inan acc sg;;;к;и;т;с;а;л;S;ЛАСТИК;S m inan acc sg
36409;23;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36410;24;нооо;НО;CONJ;*;;о;о;о;н;;;S;НООО;S n inan nonflex nonflex
36411;25;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36412;26;чтобы;ЧТОБЫ;CONJ;;;ы;б;о;т;ч;;CONJ;ЧТОБЫ;CONJ
36413;27;стереть;СТЕРЕТЬ;V pf inf;;;ь;т;е;р;е;т;V;СТЕРЕТЬ;V pf - - inf - -
36414;28;то;ТО;SPRO inan n acc sg;;;о;т;;;;;CONJ;ТО;CONJ
36415;29;,;,;PUNC;;;;;;;;;PUNC;,;PUNC
36416;30;то;ТО;SPRO inan n acc sg;;;о;т;;;;;NONLEX;ТО;NONLEX
